Date;Mercedes-Benz Cars unit sales (USA)
2008Q1;67,219
2008Q2;68,341
2008Q3;64,866
2008Q4;50,734
2009Q1;43,927
2009Q2;50,714
2009Q3;48,61
2009Q4;59,704
2010Q1;56,145
2010Q2;51,318
2010Q3;55,796
2010Q4;57,195
2011Q1;58,61
2011Q2;54,193
2011Q3;55,122
2011Q4;82,43
2012Q1;68,603
2012Q2;65,453
2012Q3;74,247
2012Q4;91,438
2013Q1;67,998
2013Q2;76,476
2013Q3;80,106
2013Q4;93,927
2014Q1;76,851
2014Q2;81,914
2014Q3;84,085
2014Q4;101,515
2015Q1;87,714
2015Q2;90,383
2015Q3;88,073
2015Q4;92,938
2016Q1;77,256
2016Q2;86,624
2016Q3;89,878
2016Q4;93,449
